사업장명,업태구분명,도로명주소,좌표정보(X),좌표정보(Y)
(CU)노량진드림점,편의점,서울특별시 동작구 노량진로6길 88 1층 (노량진동),194375.0396,445257.086
(CU)씨유정릉센터점,편의점,서울특별시 성북구 정릉로38마길 29 우성아파트상가1동 상가1동 101~104호 (정릉동),201327.4182,455410.8
(GS25)방배e푸른점,편의점,서울특별시 서초구 서초대로27길 57 1층 103호 (방배동),199349.812,443138.7925
(주)바이더웨이용산해방촌점,편의점,서울특별시 용산구 신흥로 57 (용산동2가(지상1층)),198811.6626,449031.2283
(주)삼표에너지 고덕주유소GS25 G고덕점,편의점,서울특별시 강동구 고덕로 39 1층 (암사동),211381.8257,450326.193
(주)세나코퍼레이션 씨유 숭실대중앙점,편의점,서울특별시 동작구 상도로63길 21 1층 (상도동),196093.2012,443612.1868
(주)세븐일레븐서교8호점,편의점,서울특별시 마포구 월드컵로 30 (서교동),192209.5829,449985.5583
(주)씨스페이시스 흑석중대점,편의점,서울특별시 동작구 서달로14가길 1 1층 (흑석동),196685.3007,445056.4986
(주)씨유편의점 센트럴플레이스점,편의점,서울특별시 중구 서소문로 50 CENTRAL PLACE 지하1층 105호 (중림동),197016.0458,450958.8224
(주)씨유편의점양평이레빌딩점,편의점,서울특별시 영등포구 선유동2로 57 이레빌딩 지하1층 (양평동4가),190834.8799,447975.9314
(주)엠에프코리아 CU신촌푸르지오점,편의점,서울특별시 서대문구 신촌역로 7 신촌푸르지오시티 1층 106107호 (대현동),194855.9109,450573.6904
(주)이마트24 R충무로스타점,편의점,서울특별시 중구 퇴계로 184 스타빌딩 1층 101호 (필동1가),199243.5951,450951.5354
(주)이마트24 강남BSD센터 CFF점,편의점,서울특별시 강남구 논현로 611 지하2층 (논현동),202857.8446,445114.6489
(주)이마트24 강서BSD센터 CFF점,편의점,서울특별시 강서구 강서로33길 19 강서포스텔 1층 101호 (화곡동),185686.3911,448841.648
(주)이마트24 관악BSD센터 CFF점,편의점,서울특별시 관악구 남부순환로 1663 1층 (봉천동),194230.9378,442559.5743
(주)이마트24 김포공항,편의점,서울특별시 강서구 하늘길 38 김포국제공항 국제선청사 3층 (방화동),182524.8238,451438.2509
(주)이마트24 성수뚝도점,편의점,서울특별시 성동구 성덕정11길 20-1 1층 (성수동2가),204651.9779,448533.8029
(주)이마트24강동BSD센터 CFF점,편의점,서울특별시 강동구 천호대로 1195 지앤지타워 B1층 B101B102호 (길동),212645.5607,448103.4993
(주)지에스25 여의도 IFC몰,편의점,서울특별시 영등포구 국제금융로 10 IFC몰 지하2층일부 (여의도동),193326.931,446973.9146
(주)지에스리테일 GS수퍼,편의점,서울특별시 양천구 신정이펜2로 12-1 GS양천신은주차빌딩 1층 (신정동),185171.6991,445620.2503
(주)코리아세븐,편의점,서울특별시 서초구 반포대로 201 국립중앙도서관 1층 (반포동),200229.9518,443909.5237
(주)코리아세븐 뉴강남센터점,편의점,서울특별시 강남구 강남대로96길 9 지상1층 (역삼동),202382.761,444185.9164
(주)코리아세븐 마포센터점,편의점,서울특별시 마포구 새창로 7 (도화동 서울대학교총동창회장학빌딩 1층일부),195597.9815,448915.1347
(주)코리아세븐 서대문북가좌점,편의점,서울특별시 서대문구 응암로 126 1층 12호 (북가좌동),192359.5309,453474.8829
(주)코리아세븐 서초예당점,편의점,서울특별시 서초구 반포대로7길 25 1층 (서초동),200870.6846,442205.3966
(주)코리아세븐 선릉오성점,편의점,서울특별시 강남구 선릉로 510 지상1층 101호 (삼성동 오성빌딩),204258.1331,444773.4994
(주)코리아세븐 신림대학스타점,편의점,서울특별시 관악구 호암로24길 6 1층 (신림동),194052.4063,440860.6105
(주)코리아세븐 신림푸리마점,편의점,서울특별시 관악구 관천로 38 1층 101호 (신림동),193515.1288,442357.981
(주)코리아세븐 용산서빙고점,편의점,서울특별시 용산구 서빙고로51길 64 101 상가동 1층 107호 (서빙고동 그린파크아파트),199162.134,446755.6685
(주)코리아세븐답십리타운점,편의점,서울특별시 동대문구 전농로5길 20 지상1층 (답십리동),204880.7849,452079.0527
(주)코리아세븐홍대6번출구점,편의점,서울특별시 마포구 신촌로6길 24 (동교동 1층일부),193723.0887,450452.0179
(주)티제이커머스씨유세종대학생회관점,편의점,서울특별시 광진구 능동로 209 세종대학교 1층 (군자동),206481.0627,449832.3234
(주)함꿈에프앤비 CU경희의료원점,편의점,서울특별시 동대문구 경희대로 23 경희의료원 1층 (회기동),204469.209,454934.0474
7-ELEVEN 정릉중앙,편의점,서울특별시 성북구 서경로 86 지하1층 102호 (정릉동),201204.8646,456506.4019
7-ELEVEN 중구매크로점,편의점,서울특별시 중구 을지로12길 28 1층 105106호 (저동2가),199097.2021,451430.8783
CU  신당퇴계로점,편의점,서울특별시 중구 퇴계로 376-2 1층 (신당동),201117.5405,451396.2249
CU SK북한산시티점,편의점,서울특별시 강북구 솔샘로 184 에스케이북한산시티 상가동 2층 201201-1호 (미아동),201059.8732,457514.2127
CU 가산ENC7차점,편의점,서울특별시 금천구 디지털로9길 46 이앤씨드림타워7차 1층 104호 (가산동),189943.5462,441990.8174
CU 가재울소망점,편의점,서울특별시 서대문구 모래내로15길 30 상가1층 (남가좌동),192903.8934,452331.9081
CU 갈현대로점,편의점,서울특별시 은평구 갈현로 208 1층 (갈현동),192328.6841,457069.1554
CU 강남일원점,편의점,서울특별시 강남구 일원로3길 89 지상1층 (일원동),207579.4172,443478.0176
CU 강동성심병원점,편의점,서울특별시 강동구 성안로 150 강동성심병원 1층 (길동),211883.6884,448216.5749
CU 강동천호대로점,편의점,서울특별시 강동구 천호대로 1034 탑 메디칼센타 1층 101호 (성내동),211129.3375,448341.257
CU 강동하이빌점,편의점,서울특별시 강동구 진황도로 66 101호 (천호동),211760.3284,448332.6992
CU 강북신흥점,편의점,서울특별시 강북구 한천로144길 35 1층 (수유동),202271.519,460019.6552
CU 거여현대점,편의점,서울특별시 송파구 거마로9길 18 1층 (거여동),212674.9358,443859.1539
CU 경기대사거리점,편의점,서울특별시 서대문구 경기대로 62 (충정로2가),196734.141,451335.8064
CU 고척대우점,편의점,서울특별시 구로구 고척로52길 48 상가동 지하1층 비01호 (고척동 고척대우아파트),187151.1495,444544.592
CU 고척에이스점,편의점,서울특별시 구로구 고척로33길 30 지층 101호 (고척동),186551.4025,444646.2307
CU 관악난우점,편의점,서울특별시 관악구 난우길 36 1층 (신림동),192664.2507,441540.8548
CU 관악동방점,편의점,서울특별시 관악구 신림로23길 49 1층 (신림동),194156.052,440728.8382
CU 관악중앙점,편의점,서울특별시 관악구 중앙길 5 1층 (봉천동),195846.027,442383.123
CU 관악한울점,편의점,서울특별시 관악구 남부순환로 1801 1층 (봉천동),195542.9233,442184.1123
CU 관악햇살점,편의점,서울특별시 관악구 법원단지5길 5 2층 (신림동),192800.291,441382.863
CU 구로오퍼스점,편의점,서울특별시 구로구 구로중앙로 207 159 160호 (구로동),189047.7731,444715.2185
CU 구로희망점,편의점,서울특별시 구로구 디지털로31길 53 이앤씨벤처드림타워5차 1층 102호 (구로동),190415.3313,442596.2038
CU 굽은다리점,편의점,서울특별시 강동구 양재대로 1549 삼정빌딩 1층 105호 (천호동),212481.8132,449096.195
CU 난곡정복점,편의점,서울특별시 관악구 난곡로 235 1층 (신림동),192544.4739,441460.4697
CU 내곡6단지점,편의점,서울특별시 서초구 청계산로9길 1-12 1층 101호 (신원동 서초포레스타6단지),204819.1723,438685.1267
CU 논현경복점,편의점,서울특별시 강남구 봉은사로43길 14 지상1층 (논현동),203459.4949,445328.5445
CU 논현세원점,편의점,서울특별시 강남구 언주로125길 7 지상1층 (논현동),202990.9797,445632.5812
CU 논현힐탑점,편의점,서울특별시 강남구 학동로30길 39 지상1층 1호 (논현동),202847.3826,445485.8027
CU 대치기량점,편의점,서울특별시 강남구 선릉로 406 지상1층 (대치동),204424.335,444330.1946
CU 대치은마동문점,편의점,서울특별시 강남구 영동대로 219 지상1층 103호 (대치동),205969.3237,444018.5818
CU 동양미래대학교점,편의점,서울특별시 구로구 경인로 445 동양미래대학교 지하3층 (고척동),188228.9841,444267.4649
CU 매봉산점,편의점,서울특별시 강남구 남부순환로377길 6 지상1층 (도곡동),203929.1583,442753.4242
CU 면목희망점,편의점,서울특별시 중랑구 면목로27길 49 1층 (면목동),207237.4062,452486.2031
CU 목동1단지점,편의점,서울특별시 양천구 목동서로 38 목동1단지관리동 106호 (목동 목동신시가지아파트1단지),189266.4037,448601.4007
CU 문정대명벨리온점,편의점,서울특별시 송파구 법원로 127 1층 (문정동),210454,442691
CU 문정한스바이오메드점,편의점,서울특별시 송파구 정의로8길 7 1층 105호 (문정동),210190,442675
CU 반포주공점,편의점,서울특별시 서초구 신반포로 22 1층 31호 (반포동 H동),198798.6112,444320.5558
CU 방이 우량점,편의점,서울특별시 송파구 가락로36길 7 지상1층 (방이동),210445.9972,445294.7211
CU 방학 학마을점,편의점,서울특별시 도봉구 방학로6가길 83 1층 (방학동),203513.7207,462641.4675
CU 번동 중앙점,편의점,서울특별시 강북구 한천로130길 39 (번동),202708.459,459663.0422
CU 번동기산점,편의점,서울특별시 강북구 월계로37길 137 (번동 기산그린아파트),203784.3581,458347.8533
CU 번동북부점,편의점,서울특별시 강북구 한천로129길 33 1층 (번동),202479.5498,459362.0979
CU 불광샛별점,편의점,서울특별시 은평구 통일로92길 18 1층 (불광동),193031.5253,458114.1843
CU 불광힐스테이트점,편의점,서울특별시 은평구 불광로 122-7 1층 (불광동),194059.7243,457303.7322
CU 사당리가점,편의점,서울특별시 동작구 사당로27길 130 지층 204호 (사당동 이수역리가아파트),197617.8741,443032.7138
CU 삼성대웅,편의점,서울특별시 강남구 봉은사로 630 지상1층 (삼성동),205620.26,445835.555
CU 삼성아이파크점,편의점,서울특별시 강남구 삼성로119길 14 주호빌딩 지상1층 (삼성동),204379.9238,445980.7581
CU 삼전무지개점,편의점,서울특별시 송파구 백제고분로28길 25 지상1층 (삼전동),208025.3323,444283.9277
CU 삼풍중앙점,편의점,서울특별시 서초구 서초중앙로28길 10 1층 (서초동),201196.3726,443842.2734
CU 상계아카시아점,편의점,서울특별시 노원구 상계로9가길 23 (상계동),205856.0473,461850.781
CU 상도포스코점,편의점,서울특별시 동작구 장승배기로10길 130 1층 (상도동),194887.7894,444431.008
CU 상암푸르지오점,편의점,서울특별시 마포구 월드컵북로54길 25 상암DMC푸르지오시티 S-City 1층 102호 (상암동),190144.8929,453302.0499
CU 상일천호대로점,편의점,서울특별시 강동구 천호대로219길 7 1층 (상일동),214980.0637,449352.3353
CU 서대문북가좌점,편의점,서울특별시 서대문구 증가로24나길 20 1층 (북가좌동),192492.4874,453263.5941
CU 서대문센트레빌점,편의점,서울특별시 서대문구 독립문로14길 8 1층 (냉천동),196715.0802,451647.0007
CU 서래중앙점,편의점,서울특별시 서초구 서래로 13 1층 (반포동),199750.7171,443783.2262
CU 서울여대점,편의점,서울특별시 노원구 화랑로 621 서울여자대학교 50주년기념관 1층 (공릉동),207918.3204,458383.9834
CU 서울역한라비발디점,편의점,서울특별시 중구 만리재로 177 서울역한라비발디센트럴 단지내상가 1층 8호 (만리동2가),196964.0676,450386.1286
CU 서초골드로즈점,편의점,서울특별시 서초구 서초대로74길 51 강남역 롯데골드로즈 1층 103호 (서초동),202429.9343,443439.265
CU 서초삼성타운점,편의점,서울특별시 서초구 강남대로55길 24 풍림아이원매직 1층 101호 (서초동),202193.9209,443717.6903
